Athlete Name,Categorisation,Years Categorised Level
Jessica Fox,Podium,11
Noemie Fox,Podium,1
Lucien Delfour,Podium Ready,8
Timothy Anderson,Podium Ready,2
Tristan Carter,Podium Ready,1
Kaylen Bassett,Podium Potential,3
Benjamin Pope,Podium Potential,3
Mark Crosbee,Podium Potential,3
Declan Ellis,Developing,1
Benjamin Ross,Developing,2
Georgia O'Callaghan,Developing,2
Codie Davidson,Developing,2
Dominic Curtin,Developing,3
Sarah Crosbee,Developing,1
Sebastian Montalto,Developing,5
Claire Clements,Developing,2
Merle Long,Developing,1
George Pankhurst,Developing,5
Sevan Billaut,Emerging,1
Riley Galea,Emerging,1
Archie Nelson,Emerging,2
James Stamp,Emerging,2



