Year,Location,Competition,Phase,Class,Rank,Bib,Athlete Name,Last Name,First Name,Nation,Raw Time,Total Penalties,Total Time,Total Time Behind,Total Time % Behind Winner,Raw Time Behind Winner,Raw % Behind Winner,Overachieved or Underachieved,UID,Athlete_ID,Overall Rank
2006,Tacen,Junior World Championships,Heat 1,K1M,1,88,Sebastian Schubert,SCHUBERT,SEBASTIAN,GER,86.2,0,86.2,0,100.00%,0,100.00%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Sebastian Schubert,1
2006,Tacen,Junior World Championships,Heat 1,K1M,2,77,Mateusz Polaczyk,POLACZYK,MATEUSZ,POL,85.56,2,87.56,1.36,101.58%,-0.64,99.26%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Mateusz Polaczyk,4
2006,Tacen,Junior World Championships,Heat 1,K1M,3,87,Jan Vondra,VONDRA,JAN,CZE,87.94,0,87.94,1.74,102.02%,1.74,102.02%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Jan Vondra,3
2006,Tacen,Junior World Championships,Heat 1,K1M,4,42,Joan Crespo Sistiaga,CRESPO SISTIAGA,JOAN,ESP,87.96,0,87.96,1.76,102.04%,1.76,102.04%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Joan Crespo Sistiaga,14
2006,Tacen,Junior World Championships,Heat 1,K1M,5,78,Lukas Kalkbrenner,KALKBRENNER,LUKAS,GER,88.3,0,88.3,2.1,102.44%,2.1,102.44%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Lukas Kalkbrenner,9
2006,Tacen,Junior World Championships,Heat 1,K1M,6,84,Simon Artelj,ARTELJ,SIMON,SLO,89.01,0,89.01,2.81,103.26%,2.81,103.26%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Simon Artelj,15
2006,Tacen,Junior World Championships,Heat 1,K1M,7,34,Josep Salsas Chinchilla,SALSAS CHINCHILLA,JOSEP,ESP,89.03,0,89.03,2.83,103.28%,2.83,103.28%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Josep Salsas Chinchilla,23
2006,Tacen,Junior World Championships,Heat 1,K1M,8,64,Renoit Guillaune,GUILLAUNE,RENOIT,FRA,89.14,0,89.14,2.94,103.41%,2.94,103.41%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Renoit Guillaune,10
2006,Tacen,Junior World Championships,Heat 1,K1M,9,62,Hannes Aigner,AIGNER,HANNES,GER,89.44,0,89.44,3.24,103.76%,3.24,103.76%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Hannes Aigner,2
2006,Tacen,Junior World Championships,Heat 1,K1M,10,80,Lukas Mayr,MAYR,LUKAS,ITA,89.56,0,89.56,3.36,103.90%,3.36,103.90%,Over Achieved,2006 Tacen Junior World Championships K1M,2006 Tacen Junior World Championships K1M Lukas Mayr,27
