UID,Year,Location,Competition,Phase,Class,Rank,Bib,Athlete Name,Nation,Gate 1,Gate 2,Gate 3,Gate 4,Gate 5,Gate 6,Gate 7,Gate 8,Gate 9,Gate 10,Gate 11,Gate 12,Gate 13,Gate 14,Gate 15,Gate 16,Gate 17,Gate 18,Gate 19,Gate 20,Gate 21,Gate 22,Gate 23,Gate 24,Gate 25,Raw Time,Total Penalties,Total Time,Heats Format,Raw % Behind,Total % Behind,Year of Birth
2012 Seu World Cup 3 Heat 1 K1W 5,2012,Seu,World Cup 3,Heat 1,K1W,5,203,Maialen CHOURRAUT,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,92.74,2,94.74,Best of 2,101.34%,103.53%,1983
2012 Seu World Cup 3 Heat 2 K1W 1,2012,Seu,World Cup 3,Heat 2,K1W,1,203,Maialen CHOURRAUT,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,89.38,0,89.38,Best of 2,100.00%,100.00%,1983
2012 Seu World Cup 3 Heat 1 K1W 1,2012,Seu,World Cup 3,Heat 1,K1W,1,202,Melanie PFEIFER,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,91.51,0,91.51,Best of 2,100.00%,100.00%,1986
2012 Seu World Cup 3 Heat 2 K1W 41,2012,Seu,World Cup 3,Heat 2,K1W,41,202,Melanie PFEIFER,GER,-,-,-,-,-,-,-,-,-,50,2,-,-,-,-,-,-,-,-,-,-,-,-,,,93.51,52,145.51,Best of 2,104.62%,162.80%,1986
2012 Seu World Cup 3 Heat 1 K1W 13,2012,Seu,World Cup 3,Heat 1,K1W,13,214,Emilie FER,FRA,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,95.27,2,97.27,Best of 2,104.11%,106.29%,1983
2012 Seu World Cup 3 Heat 2 K1W 2,2012,Seu,World Cup 3,Heat 2,K1W,2,214,Emilie FER,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,92.59,0,92.59,Best of 2,103.59%,103.59%,1983
2012 Seu World Cup 3 Heat 1 K1W 2,2012,Seu,World Cup 3,Heat 1,K1W,2,218,Cindy POESCHEL,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,93.54,0,93.54,Best of 2,102.22%,102.22%,1990
2012 Seu World Cup 3 Heat 2 K1W 45,2012,Seu,World Cup 3,Heat 2,K1W,45,218,Cindy POESCHEL,GER,-,-,-,-,-,-,-,-,-,50,-,-,-,2,-,-,-,2,-,-,-,-,-,,,100.89,54,154.89,Best of 2,112.88%,173.29%,1990
2012 Seu World Cup 3 Heat 1 K1W 3,2012,Seu,World Cup 3,Heat 1,K1W,3,231,Marta MARTINEZ,ESP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,93.8,0,93.8,Best of 2,102.50%,102.50%,1989
2012 Seu World Cup 3 Heat 2 K1W 13,2012,Seu,World Cup 3,Heat 2,K1W,13,231,Marta MARTINEZ,ESP,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,,,95.95,2,97.95,Best of 2,107.35%,109.59%,1989
