Year,Location,Competition,Round,Phase,Class,Rank,Bib,Athlete Name,Last Name,First Name,Nation,Time,Time Behind,% Behind Winner,Faults,Competition ID,Athlete ID
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,1,11,Zuzana PANKOVA,PANKOVA,Zuzana,SVK,55.36,0,100.00%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Zuzana PANKOVA
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,2,10,Olga SAMKOVA,SAMKOVA,Olga,CZE,55.65,0.29,100.52%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Olga SAMKOVA
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,3,3,Tereza KNEBLOVA,KNEBLOVA,Tereza,CZE,56.43,1.07,101.93%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Tereza KNEBLOVA
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,4,2,Emma VUITTON,VUITTON,Emma,FRA,56.46,1.1,101.99%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Emma VUITTON
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,5,1,Evy LEIBFARTH,LEIBFARTH,Evy,USA,56.47,1.11,102.01%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Evy LEIBFARTH
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,6,32,Doriane DELASSUS,DELASSUS,Doriane,FRA,56.7,1.34,102.42%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Doriane DELASSUS
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,7,9,Lois LEAVER,LEAVER,Lois,GBR,56.75,1.39,102.51%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Lois LEAVER
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,8,44,Lucia PISTONI,PISTONI,Lucia,ITA,57.19,1.83,103.31%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Lucia PISTONI
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,9,14,Dominika BRZESKA,BRZESKA,Dominika,POL,57.41,2.05,103.70%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Dominika BRZESKA
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,10,8,Haizea SEGURA,SEGURA,Haizea,ESP,57.63,2.27,104.10%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Haizea SEGURA
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,11,15,Leire GONI,GONI,Leire,ESP,57.73,2.37,104.28%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Leire GONI
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,12,16,Paulina PIRRO,PIRRO,Paulina,GER,57.8,2.44,104.41%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Paulina PIRRO
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,13,4,Katerina BEKOVA,BEKOVA,Katerina,CZE,57.96,2.6,104.70%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Katerina BEKOVA
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,14,43,Taisiia LOGACHEVA,LOGACHEVA,Taisiia,AIN,58.02,2.66,104.80%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Taisiia LOGACHEVA
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,15,5,Eva Alina HOCEVAR,HOCEVAR,Eva Alina,SLO,58.16,2.8,105.06%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Eva Alina HOCEVAR
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,16,28,Antonia PLOCHMANN,PLOCHMANN,Antonia,GER,58.21,2.85,105.15%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Antonia PLOCHMANN
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,17,37,Macy KANG,KANG,Macy,GBR,58.49,3.13,105.65%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Macy KANG
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,18,36,Charlotte WILD,WILD,Charlotte,GER,58.57,3.21,105.80%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Charlotte WILD
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,19,27,Oleksandra HORLOVA,HORLOVA,Oleksandra,UKR,58.6,3.24,105.85%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Oleksandra HORLOVA
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,20,50,Angelina MAKACHEVA,MAKACHEVA,Angelina,AIN,58.61,3.25,105.87%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Angelina MAKACHEVA
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,21,38,Perrine JOUBERT,JOUBERT,Perrine,FRA,58.66,3.3,105.96%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Perrine JOUBERT
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,22,31,Beatrice OLSON,OLSON,Beatrice,CAN,58.74,3.38,106.11%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Beatrice OLSON
2025,Foix,U23 World Championships,Time Trial,Time Trial,WCSLX,23,19,Ivana CHLEBOVA,CHLEBOVA,Ivana,SVK,58.81,3.45,106.23%,,2025 Foix U23 World Championships,2025 Foix U23 World Championships WCSLX Ivana CHLEBOVA
