Year,Competition,Location,Class,Phase,Rank,Athlete Name,Nation,Raw Time,Total Penalties,Total Time,,,
2017,Australian Open,Penrith,C1M,Heat 1,1,Matej BENUS,SVK,90.28,0,90.28,,,
2017,Australian Open,Penrith,C1M,Heat 1,2,Michal MARTIKAN,SVK,92.19,0,92.19,,,
2017,Australian Open,Penrith,C1M,Heat 1,3,Alexander SLAFKOVSKY,SVK,91.1,2,93.1,,,
2017,Australian Open,Penrith,C1M,Heat 1,4,Genyuan ZHANG,CHN,93.26,0,93.26,,,
2017,Australian Open,Penrith,C1M,Heat 1,5,Ryan WESTLEY,GBR,93.35,0,93.35,,,
2017,Australian Open,Penrith,C1M,Heat 1,6,Lukas ROHAN,CZE,91.38,2,93.38,,,
2017,Australian Open,Penrith,C1M,Heat 1,7,Michal JANE,CZE,93.11,2,95.11,,,
2017,Australian Open,Penrith,C1M,Heat 1,8,Ian BORROWS,AUS,93.49,2,95.49,,,
2017,Australian Open,Penrith,C1M,Heat 1,9,David FLORENCE,GBR,93.67,2,95.67,,,
2017,Australian Open,Penrith,C1M,Heat 1,10,Edern LE RUYET,FRA,91.81,4,95.81,,,
2017,Australian Open,Penrith,C1M,Heat 1,11,Paolo CECCON,ITA,95.85,0,95.85,,,
2017,Australian Open,Penrith,C1M,Heat 1,12,Stanislav JEZEK,CZE,95.91,0,95.91,,,
2017,Australian Open,Penrith,C1M,Heat 1,13,Pierre Antoine TILLARD,FRA,94.11,2,96.11,,,
2017,Australian Open,Penrith,C1M,Heat 1,14,Raffaello IVALDI,ITA,96.41,0,96.41,,,
2017,Australian Open,Penrith,C1M,Heat 1,15,Tomas RAK,CZE,96.44,0,96.44,,,
2017,Australian Open,Penrith,C1M,Heat 1,16,Brodie CRAWFORD,AUS,94.77,2,96.77,,,
2017,Australian Open,Penrith,C1M,Heat 1,17,Daniel WATKINS,AUS,92.92,4,96.92,,,
2017,Australian Open,Penrith,C1M,Heat 1,18,Niccolo FERRARI,ITA,97.23,0,97.23,,,
2017,Australian Open,Penrith,C1M,Heat 1,19,Marko MIRGORODSKY,SVK,97.6,0,97.6,,,
2017,Australian Open,Penrith,C1M,Heat 1,20,Patrick WASHER,NZL,98,0,98,,,
